transaction_id,sender_account_number,receiver_account_number,transaction_type,amount,currency,transaction_date,transaction_status,payment_mode,fee,description,geo_location_city,geo_location_region
TXN0000000001,ACC850151248406,ACC479060583420,Debit,4975.59,INR,2023-01-01 00:00:00,Failed,IMPS,0.14,Utility Bill Payment,Bangalore,Bangalore
TXN0000000002,ACC390838499464,ACC822693484994,Credit,3171.74,INR,2023-01-01 01:00:00,Success,IMPS,0.56,Charity Donation,Bangalore,Chennai
TXN0000000003,ACC270164199355,ACC743361111945,Debit,6435.43,INR,2023-01-01 02:00:00,Success,UPI,0.26,Mobile Recharge,Bangalore,Chennai
TXN0000000004,ACC419469460031,ACC683588170766,Debit,8481.84,INR,2023-01-01 03:00:00,Success,IMPS,0.8,Grocery Shopping,Kolkata,Bangalore
TXN0000000005,ACC358081408437,ACC973221586340,Debit,8764.13,INR,2023-01-01 04:00:00,Success,UPI,0.11,Dining,Chennai,Kolkata
TXN0000000006,ACC461790402706,ACC148191683565,Credit,4381.91,INR,2023-01-01 05:00:00,Failed,Debit Card,0.61,Mobile Recharge,Delhi,Chennai
TXN0000000007,ACC437332130648,ACC385237122709,Debit,5656.21,INR,2023-01-01 06:00:00,Success,UPI,0.83,Charity Donation,Mumbai,Bangalore
TXN0000000008,ACC612697394330,ACC474332963761,Debit,6612.53,INR,2023-01-01 07:00:00,Failed,Debit Card,0.52,Dining,Chennai,Mumbai
TXN0000000009,ACC489445753328,ACC254092952377,Debit,6090.31,INR,2023-01-01 08:00:00,Failed,IMPS,0.55,Insurance Payment,Delhi,Chennai
TXN0000000010,ACC624409910030,ACC580024330087,Debit,6599.72,INR,2023-01-01 09:00:00,Success,NEFT,0.72,Grocery Shopping,Mumbai,Chennai
TXN0000000011,ACC577882509592,ACC281653783356,Credit,6589.13,INR,2023-01-01 10:00:00,Failed,UPI,0.03,Dining,Kolkata,Bangalore
TXN0000000012,ACC108380776294,ACC203617569938,Debit,2402.64,INR,2023-01-01 11:00:00,Success,Debit Card,0.43,Grocery Shopping,Delhi,Kolkata
TXN0000000013,ACC882294440496,ACC394889816506,Debit,5472.43,INR,2023-01-01 12:00:00,Failed,NEFT,0.71,Dining,Delhi,Kolkata
TXN0000000014,ACC991260161720,ACC348227262407,Debit,8045.16,INR,2023-01-01 13:00:00,Failed,Credit Card,0.77,Online Shopping,Kolkata,Bangalore
TXN0000000015,ACC594414174827,ACC299316365905,Credit,7987.13,INR,2023-01-01 14:00:00,Success,IMPS,0.53,Grocery Shopping,Mumbai,Bangalore
TXN0000000016,ACC540247469752,ACC814952895432,Debit,8820.29,INR,2023-01-01 15:00:00,Success,Credit Card,0.32,Utility Bill Payment,Kolkata,Chennai
TXN0000000017,ACC531073735786,ACC780329407484,Credit,5951.71,INR,2023-01-01 16:00:00,Success,RTGS,0.22,Charity Donation,Mumbai,Mumbai
TXN0000000018,ACC916039231265,ACC319744034170,Debit,3491.29,INR,2023-01-01 17:00:00,Success,RTGS,0.14,Insurance Payment,Kolkata,Mumbai
TXN0000000019,ACC233767544070,ACC367133910943,Credit,4633.67,INR,2023-01-01 18:00:00,Success,Credit Card,0.62,Mobile Recharge,Mumbai,Bangalore
TXN0000000020,ACC969587178879,ACC851726856123,Debit,4168.76,INR,2023-01-01 19:00:00,Success,Credit Card,0.68,Mobile Recharge,Kolkata,Mumbai
TXN0000000021,ACC453453868111,ACC193416093033,Debit,6069.0,INR,2023-01-01 20:00:00,Success,UPI,0.17,Charity Donation,Chennai,Bangalore
TXN0000000022,ACC975355072165,ACC226859082621,Debit,7647.09,INR,2023-01-01 21:00:00,Success,NEFT,0.87,Grocery Shopping,Bangalore,Delhi
TXN0000000023,ACC700958053151,ACC383076054547,Credit,8298.27,INR,2023-01-01 22:00:00,Success,RTGS,0.1,Mobile Recharge,Kolkata,Kolkata
TXN0000000024,ACC730976134384,ACC227177618806,Credit,9254.01,INR,2023-01-01 23:00:00,Success,IMPS,0.46,Mobile Recharge,Chennai,Delhi
TXN0000000025,ACC486726743057,ACC647603566466,Debit,8258.26,INR,2023-01-02 00:00:00,Failed,Debit Card,0.16,Dining,Mumbai,Mumbai
TXN0000000026,ACC674252745977,ACC668847528932,Credit,816.85,INR,2023-01-02 01:00:00,Success,Debit Card,0.48,Utility Bill Payment,Bangalore,Mumbai
TXN0000000027,ACC625740653451,ACC870272442232,Credit,5730.66,INR,2023-01-02 02:00:00,Failed,RTGS,0.52,Dining,Delhi,Delhi
TXN0000000028,ACC430082245295,ACC481332189056,Credit,129.82,INR,2023-01-02 03:00:00,Failed,UPI,0.95,Insurance Payment,Kolkata,Kolkata
TXN0000000029,ACC210115140702,ACC269144022753,Credit,4497.8,INR,2023-01-02 04:00:00,Success,RTGS,0.6,Online Shopping,Bangalore,Bangalore
TXN0000000030,ACC707612066517,ACC226370346879,Credit,6445.4,INR,2023-01-02 05:00:00,Success,Credit Card,0.38,Utility Bill Payment,Delhi,Kolkata
TXN0000000031,ACC434349844332,ACC319381489002,Credit,4974.46,INR,2023-01-02 06:00:00,Failed,UPI,0.12,Utility Bill Payment,Kolkata,Delhi
